Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Tanner Bleskin,,,2014,Montana State,WR,6.3,224,0,0,4.71,1.59,4.43,6.94,16,32,10.1,98.9,102.8,-0.7,-0.4
Leland Baker,,,2014,Alabama State,IB,6.02,227,0,0,4.77,1.65,4.39,7.35,20,31.5,9.67,101.9,103.6,-0.7,-0.4
Tre Boston,,,2014,North Carolina,DS,5.97,204,31.38,9.75,4.59,1.6,4.31,7.04,18,35,9.67,110.7,105.1,-0.1,-0.4
Alex Johnson,,,2014,Old Dominion,OB,6.28,242,0,0,4.81,1.72,4.53,7.27,22,32.5,9.83,101.6,103.3,-0.5,-0.4
Beau Bachtelle,,,2014,Buffalo,DE,6.29,274,0,0,5.01,1.7,4.5,7.32,12,26.5,10,82.2,103.3,-1.7,-0.4
Deontae Skinner,,,2014,Mississippi State,OB,6.08,250,34.25,9.38,4.81,1.69,4.42,7.18,14,31,9.75,96.9,105,-0.9,-0.4
Dorian Bell,,,2014,Duquesne,OB,5.92,228,32,8.13,4.66,1.6,4.41,7.28,19,30.5,9.5,103.1,105,-0.5,-0.4
Tim Flanders,,,2014,Sam Houston State,RB,5.71,207,30.25,9.25,4.56,1.55,4.31,7.07,20,32,9.42,109.6,107.1,-0.2,-0.4
Freddie Martino,,,2014,North Greenville,WR,5.95,198,30.38,9,4.49,1.6,4.36,6.59,13,33.5,9.6,103.2,102.7,-0.4,-0.4
Anthony Denham,,,2014,Utah,TE,6.37,235,33.38,10.5,4.77,1.65,4.56,7.38,14,32.5,9.42,92.4,98.2,-0.8,-0.4
Justin Renfrow,,,2014,Miami (FL),DT,6.31,305,0,0,5.29,1.89,4.68,7.74,19,33,8.67,92,89.5,-0.4,-0.4
Travis Swanson,76,DET,2014,Arkansas,OC,6.42,312,33.13,10,5.28,1.87,4.65,7.73,20,26,7.92,84,78.1,-0.3,-0.4
Matt Hall,,,2014,Belhaven (MS),OT,6.76,324,34.5,10.25,5.48,1.9,4.88,7.77,32,27.5,8.42,89.8,85,0,-0.4
LaDon Hudson,,,2014,Mid-America Nazarene,WR,6.21,214,0,0,4.67,1.65,4.27,7.13,9,34.5,10,100.9,102.6,-0.6,-0.4
Travis Labhart,,,2014,Texas A&M,WR,5.78,180,29.5,8.13,4.67,1.54,4.28,6.71,9,35.5,10,94.3,102.6,-1.1,-0.4
John Martinez,,,2014,USC,OG,6.17,315,31.63,9.25,5.19,1.86,4.87,8.21,42,24.5,8.25,101.2,83.8,0.9,-0.4
Kimario McFadden,,,2014,South Carolina State,DS,5.86,207,0,0,4.56,1.56,4.36,7.14,15,34,9.75,105.7,104.9,-0.5,-0.4
Alfred Blue,,,2014,LSU,RB,6.19,223,32.38,9.88,4.63,1.59,4.5,7.15,13,32,10.08,95.8,106.9,-1.2,-0.4
Nathan Ross,,,2014,Chadron State,WR,5.8,180,0,0,4.62,1.63,4.15,6.86,13,34.5,10,103.4,102.5,-0.4,-0.4
Robert Armstrong,,,2014,Texas A&M Kingsville,WR,6.04,201,0,0,4.65,1.66,4.44,7.03,15,35.5,10.4,100.2,102.5,-0.6,-0.4
Troy Harris,,,2014,Mars Hill,DE,6.26,256,0,0,5,1.72,4.55,7.43,20,35,9.92,98.1,103,-0.7,-0.4
Lucas Mathis,,,2014,Carson Newman,OG,6.24,304,0,0,5.52,1.81,5.05,8.13,19,27.5,8.33,71.5,83.7,-1.4,-0.4
Brandon Baker,,,2014,Carson Newman,RB,5.76,204,0,0,4.71,1.64,4.25,7.22,13,36.5,9.75,105.2,106.8,-0.5,-0.4
Martin Hyppolite,,,2014,Connecticut,RB,5.97,232,32,8.63,4.68,1.64,4.29,6.99,15,34,9.25,109.4,106.8,-0.3,-0.4
Brian Jackson,,,2014,Oregon,DS,5.8,199,31.75,10,4.6,1.63,4.16,6.8,14,30.5,10,102.9,104.8,-0.7,-0.4
Nathan Ollie,,,2014,Ball State,DT,6.04,298,0,0,5.25,1.73,4.9,8.43,27,28.5,8.75,89.5,89.3,-0.6,-0.4
Jon Meyer,,,2014,San Jose State,OT,6.37,295,32.13,9.5,5.09,1.83,4.81,7.37,24,25.5,8.5,87.5,84.8,-0.1,-0.4
Natey Adjei,,,2014,Buffalo,WR,5.79,194,0,0,4.61,1.57,4.43,7.31,19,36.5,10.1,106.3,102.4,-0.1,-0.4
Devonta Freeman,,,2015,Florida State,RB,5.68,209,29.38,9.63,4.58,1.66,4.26,7.11,14,32,9.83,104.9,106.7,-0.6,-0.5
Darwin Cook,,,2014,West Virginia,DS,5.86,194,0,0,4.49,1.56,4.32,7.32,14,35.5,9.75,108.1,104.7,-0.3,-0.5
Mike Nelson,,,2014,Central Washington,OT,6.27,289,32.13,0,5.37,1.81,4.68,7.92,22,29,8.25,81.5,84.7,-0.5,-0.5
Alex Neutz,,,2014,Buffalo,WR,6.2,214,33.75,9.25,4.58,1.59,4.33,7.14,14,33,9.8,105,102.3,-0.3,-0.5
Pat Moore,,,2014,South Alabama,DE,6.21,257,0,0,4.75,1.76,4.71,7.31,21,35,9.58,105.2,102.7,-0.3,-0.5
Kadeem Wise,,,2014,Chattanooga,CB,5.71,180,0,0,4.53,1.71,4.33,7.22,13,35,10.83,101,105.2,-0.6,-0.5
Brandon Linder,93,JAX,2014,Miami (FL),OG,6.46,311,34.5,10.25,5.35,1.88,4.71,7.77,32,26.5,8.33,91.9,83.4,0.2,-0.5
Cody Hoffman,,,2014,BYU,WR,6.31,223,33.25,9.25,4.65,1.65,4.2,6.89,13,31,9.7,104.8,102.1,-0.3,-0.5
Kenny Shaw,,,2014,Florida State,WR,5.92,174,0,0,4.56,1.52,4.27,6.62,8,33,10,92.2,102.1,-1.3,-0.5
Kyle Tudor,,,2014,East Carolina,IB,6.2,237,0,0,4.7,1.58,4.55,7.31,21,31,9.42,100.6,102.9,-0.8,-0.5
Dayonne Nunley,,,2014,Miami (Ohio),CB,5.7,188,31.5,8.5,4.55,1.56,4.29,6.69,17,34.5,9.58,107.2,105,-0.1,-0.5
Darrin Duncan,,,2014,Western Michigan,WR,5.92,202,0,0,4.57,1.52,4.39,7.38,12,32,10.3,96.8,102,-0.9,-0.5
Evan Finkenberg,,,2014,Arizona State,OT,6.37,300,32.5,8.5,5.25,1.81,4.7,7.68,26,24,8.42,83.5,84.3,-0.4,-0.5
Zenel Demhasaj,,,2014,Akron,OT,6.44,319,0,0,5.34,1.8,4.88,8.17,24,23,8.25,79.7,84.3,-0.7,-0.5
Spencer Parker,,,2014,Connecticut,TE,6.26,234,31.5,8.75,4.81,1.65,4.39,7.31,22,30.5,9.17,102.2,97.3,-0.2,-0.5
Jared Abbrederis,,,2014,Wisconsin,WR,6.08,195,31.38,9.63,4.5,1.62,4.08,6.8,4,30.5,9.8,97.2,101.9,-0.9,-0.5
Daniel Riley,,,2014,Harding,OB,6.23,255,0,0,4.82,1.62,4.67,7.64,21,33,9.67,98.9,102.1,-0.7,-0.5
Adrian Phillips,,,2014,Texas,DS,5.81,202,31.13,8.5,4.58,1.58,4.29,7.1,13,35.5,9.58,106.7,104.1,-0.4,-0.5
J'Vontez Blackmon,,,2014,Tennessee Martin,DS,5.93,199,0,0,4.7,1.67,4.19,7.03,11,36.5,9.92,104.6,104.1,-0.5,-0.5
Jimmy Gaines,,,2014,Miami (FL),IB,6.09,232,31.5,9.38,4.84,1.7,4.4,7.25,18,33,9.67,100.2,102.6,-0.8,-0.5
Dorrian Roberts,,,2014,Kansas State,CB,5.69,168,0,0,4.49,1.63,4.36,6.69,14,33.5,10.5,97,104.7,-1,-0.5
Virgil Williams,,,2014,Southern (LA),CB,5.64,172,0,0,4.42,1.59,4.25,6.72,13,36,9.58,107.4,104.7,-0.1,-0.5
Carlos Hyde,57,SFO,2014,Ohio State,RB,5.98,230,32,9.63,4.66,1.65,4.43,7.17,19,34.5,9.5,109.4,105.9,-0.3,-0.5
Isaac Goins,,,2014,Maryland,CB,5.94,194,0,0,4.64,1.64,4.22,7.12,18,34,10.08,108.2,104.6,0,-0.5
Walt Aikens,,,2014,Liberty,CB,6.05,203,32.25,9.38,4.49,1.59,4.42,7.12,13,35,9.83,104.4,104.6,-0.4,-0.5
Brandon Miller,,,2014,Wyoming,WR,5.94,187,0,0,4.61,1.59,4.1,6.99,13,31.5,9.9,102.4,101.6,-0.5,-0.5
R.J. Fleming,,,2014,Arkansas State,WR,5.58,178,0,0,4.44,1.56,4.42,7.2,10,35.5,10.2,97.8,101.6,-0.8,-0.5
Jonathan Dowling,,,2014,Western Kentucky,DS,6.23,190,33.13,9.25,4.52,1.57,4.24,7.04,8,33.5,9.83,99.3,103.8,-0.9,-0.5
Aaron Foster,,,2014,Bowling Green,CB,5.93,203,0,0,4.64,1.63,4.28,7.04,14,37.5,9.58,109.2,104.5,0,-0.5
Patrick Su'a,,,2014,Fresno State,IB,6.08,241,0,0,4.7,1.63,4.46,7.33,19,31.5,9.25,104,102.3,-0.5,-0.5
Kenneth Acker,,,2014,SMU,CB,5.96,190,31,9,4.5,1.58,4.37,6.94,11,36,9.75,102.4,104.4,-0.5,-0.5
Aaron Bellazin,,,2014,North Texas,DE,6.07,262,0,0,4.73,1.7,4.47,7.63,14,30,8.75,100.6,101.5,-0.6,-0.5
Chandler Jones,,,2014,San Jose State,WR,5.7,183,29.88,8.63,4.34,1.64,4.37,6.78,13,33.5,9.8,104.4,101.4,-0.3,-0.5
Tellef Lundevall,,,2014,Brown,WR,6.29,205,0,0,4.64,1.61,4.3,7.07,15,35,9.7,106.2,101.4,-0.2,-0.5
A.J. Blue,,,2014,North Carolina,RB,6.06,226,0,0,4.74,1.62,4.36,7.2,16,33,9.75,102.5,105.5,-0.7,-0.5
Sybhrian Berry,,,2014,Missouri State,CB,5.68,172,0,0,4.39,1.56,4.38,6.96,12,37,9.75,104.1,104.3,-0.4,-0.5
Kain Colter,,,2014,Northwestern,WR,5.87,198,31,10,4.71,1.59,4.2,6.68,11,33.5,9.7,98.9,101.3,-0.7,-0.5
Tyler McDonald,,,2014,South Carolina State,WR,6.06,192,0,0,4.53,1.57,4.36,7.08,13,34.5,9.8,101.9,101.3,-0.5,-0.5
Michael Sam,,,2014,Missouri,DE,6.17,261,33.38,9.38,4.71,1.74,4.7,7.8,19,30,9.5,98.1,101.3,-0.7,-0.5
Roman Lawson,,,2014,Eastern Kentucky,FB,5.97,246,0,0,4.85,1.74,4.34,7.18,26,32,8.83,111.6,94.4,0.3,-0.5
Malachi Freeman,,,2014,Akron,CB,5.71,178,0,0,4.42,1.5,4.31,7.12,16,31.5,10,102.7,104.2,-0.5,-0.5
Tyler Dippel,,,2014,Wisconsin,DE,6.29,274,0,0,5.1,1.72,4.52,7.37,28,29.5,9.25,98.5,101.2,-0.7,-0.5
Derek Brim,,,2014,Buffalo,DS,6.05,200,0,0,4.6,1.59,4.57,7.28,17,35,10.5,97.8,103.4,-1,-0.5
Ka'Deem Carey,,,2015,Arizona,RB,5.78,207,31.75,9.5,4.7,1.59,4.38,7.08,19,35,9.58,105.5,105.3,-0.5,-0.5
Zurlon Tipton,,,2014,Central Michigan,RB,5.97,223,32.13,9.62,4.7,1.64,4.48,6.89,17,32,9.92,98.1,105.3,-1,-0.5
Rob Ruggiero,,,2014,Bridgewater State,IB,6.1,237,0,0,4.65,1.63,4.52,7.2,25,30,9.25,106.2,101.9,-0.3,-0.5
Denico Autry,,,2014,Mississippi State,DE,6.38,273,34.63,10.5,5.07,1.75,4.42,7.37,14,29.5,9.58,89.6,101.1,-1.2,-0.5
Josh Mauro,,,2014,Stanford,DE,6.47,271,33,9.5,5.21,1.78,4.5,7.43,29,32,9.67,99.5,101.1,-0.6,-0.5
Kristopher Redding,,,2014,Wake Forest,DE,6.33,261,33.5,10.5,5.02,1.74,4.55,7.48,26,32.5,9.5,98.9,101.1,-0.7,-0.5
Marcus Williams,,,2014,North Dakota State,CB,5.92,196,31.25,9.38,4.57,1.59,4.27,7.18,15,35,9.75,107.8,104.1,-0.1,-0.5
Dan Shirey,,,2014,Villanova,OC,6.17,300,0,0,5.69,1.77,4.8,8.18,19,25,7.33,63.3,76.3,-1.8,-0.5
Ronald Powell,,,2015,Florida,OB,6.26,237,32.5,9.38,4.65,1.62,4.9,8.09,24,35.5,9.5,105.7,101,-0.3,-0.6
Dexer Moody,,,2014,Albany State (GA),DS,6.07,213,32.5,9.5,4.57,1.58,4.46,7.28,19,34,9.83,107,103.2,-0.4,-0.6
A.J. Dalton,,,2014,Robert Morris,OT,6.25,307,0,0,5.25,1.84,4.7,7.69,29,26,8.08,91.4,83.2,0.1,-0.6
James White,,,2014,Iowa State,RB,5.62,190,0,0,4.54,1.54,4.54,7.31,21,34,10.08,101.4,105.1,-0.8,-0.6
Lee Doss,,,2014,Southern (LA),WR,6.08,178,0,0,4.54,1.67,4.31,6.95,11,36,10.2,100.4,100.9,-0.6,-0.6
Scott Simonson,,,2014,Assumption,TE,6.38,249,32,9.25,4.87,1.65,4.62,7.38,24,30.5,9.25,95.4,96,-0.6,-0.6
Brandon Sermons,,,2014,UCLA,CB,5.94,181,0,0,4.43,1.59,4.21,7.19,16,33,9.83,109.3,103.9,0,-0.6
Jonathon Sharpe,,,2013,North Greenville,OB,5.94,217,0,0,4.58,1.65,4.38,7.18,23,30.5,9.25,109.1,102.6,-0.1,-0.6
Brendon Bigelow,,,2015,California,RB,5.79,185,30.25,9.75,4.52,1.62,4.27,7.05,17,34,9.58,107.5,104.9,-0.4,-0.6
Cliff Mitchell,,,2014,Arkansas State,OG,6.34,285,0,0,5.48,1.77,5.08,8.04,16,27.5,8.33,65.9,81.9,-1.8,-0.6
Kelcy Quarles,,,2014,South Carolina,DT,6.3,297,33.25,9.38,5.03,1.76,4.7,7.6,27,23.5,8.5,90.1,87.5,-0.5,-0.6
Andrew Green,,,2014,Nebraska,CB,5.95,194,0,0,4.56,1.57,4.25,6.79,15,33,9.58,105.2,103.8,-0.3,-0.6
Kevin Fogg,,,2014,Liberty,CB,5.79,182,0,0,4.49,1.54,4.47,7.08,17,33,10.33,98.5,103.8,-0.8,-0.6
Josh Walker,,,2014,Middle Tennessee,OG,6.46,320,0,0,5.19,1.85,4.77,8.01,23,27.5,7.75,93.3,81.8,0.3,-0.6
Blake Riley,,,2014,Georgia Southern,DT,6.05,284,0,0,5.28,1.84,4.75,7.5,30,30,8.83,91.1,87.4,-0.5,-0.6
Eric Ward,,,2014,Texas Tech,WR,5.93,199,31.38,9.25,4.59,1.58,4.3,7.02,13,34.5,9.6,103.7,100.7,-0.4,-0.6
Blaze Caponegro,,,2014,Temple,OB,6.05,236,0,0,4.82,1.64,4.45,7.03,25,28,9.67,98.5,102.4,-0.7,-0.6
Matt Landry,,,2014,Princeton,DE,6.26,242,31.38,9.75,4.78,1.68,4.53,7.15,26,29,9.58,100.7,100.5,-0.6,-0.6
Sione Tuihalamaka,,,2014,Arizona,DE,6.12,271,0,0,5.03,1.76,4.62,7.4,25,33.5,9.25,99.6,100.5,-0.6,-0.6
Tyler Davis,,,2014,Missouri Valley,CB,5.84,187,0,0,4.52,1.62,4.47,7.28,11,36.5,10.42,97.8,103.7,-0.9,-0.6
Chris Coyer,,,2014,Temple,HB,6.18,246,31.25,9.38,4.79,1.68,4.53,7.43,24,30,9.33,101,93.7,-0.5,-0.6
Ben Malena,,,2014,Texas A&M,RB,5.67,194,28.75,9,4.6,1.52,4.27,7.19,22,33.5,9.25,111.3,104.7,-0.1,-0.6
Rickey Stevens,,,2014,Maine,RB,5.59,193,0,0,4.7,1.67,4.21,6.82,17,35,9.58,106.5,104.7,-0.5,-0.6
Aslam Sterling,,,2014,Kansas,OT,6.35,332,33.75,9.75,5.25,1.85,4.97,8.25,16,28,7.92,86,82.8,-0.2,-0.6
Ryan Smith,,,2014,Auburn,DS,6.05,195,30.25,8.63,4.51,1.57,4.26,6.9,12,32.5,9.58,103,102.8,-0.7,-0.6
Roosevelt Nix,,,2014,Kent State,IB,5.94,248,30,9.75,4.79,1.63,4.39,6.97,22,28,9.17,101.5,101.3,-0.7,-0.6
Jonathan George,,,2014,Kentucky,RB,5.79,224,0,0,4.61,1.65,4.49,7.38,22,30,10.17,103.1,104.6,-0.7,-0.6
Andrew Norwell,,,2014,Ohio State,OG,6.49,315,33.63,9.88,5.28,1.91,4.93,8.09,22,28,8.75,87.1,81.6,-0.2,-0.6
Will Sutton,82,CHI,2014,Arizona State,DT,6.04,303,31.25,10,5.24,1.82,4.59,7.7,24,28.5,8.25,93.7,87.2,-0.3,-0.6
Morris Norrise,,,2014,Sacramento State,WR,6.1,182,0,0,4.69,1.59,4.21,6.93,9,34.5,10.1,94.9,100.5,-1.1,-0.6
Jyruss Edwards,,,2014,Louisiana Monroe,RB,5.97,202,0,0,4.63,1.64,4.54,7.55,23,35,10.33,104.6,104.5,-0.6,-0.6
Devonta Glover-Wright,,,2014,Utah State,CB,6,174,0,0,4.36,1.5,4.37,7.28,9,35,9.92,99.5,103.5,-0.8,-0.6
Ryne Giddins,,,2014,South Florida,DE,6.21,245,32.13,9.63,4.9,1.66,4.37,7.46,25,30.5,9.42,104.5,100.2,-0.3,-0.6
Chris Pickett,,,2014,Troy,DS,5.88,201,32.88,9.13,4.65,1.63,4.46,7.34,16,36.5,10.25,102,102.6,-0.7,-0.6
Craig Loston,,,2014,LSU,DS,6.05,217,30.75,9.75,4.65,1.6,4.35,7.15,12,32.5,9.92,99.5,102.6,-0.9,-0.6
Keenan Holman,,,2014,SMU,WR,6,185,33.63,10.5,4.52,1.61,4.38,7.08,10,34.5,10.2,96.8,100.4,-0.9,-0.6
Victor Hampton,,,2014,South Carolina,CB,5.75,197,31.25,9.25,4.6,1.62,4.2,7.01,10,33.5,9.83,101.7,103.4,-0.6,-0.6
Frank Crawford,,,2014,UNLV,DS,6.03,179,0,0,4.5,1.59,4.33,7.19,13,36,9.92,103.3,102.5,-0.6,-0.6
LaChris Anyiam,,,2014,North Texas,OG,6.33,301,0,0,5.59,1.84,5,8.32,16,27,8.67,65.8,81.4,-1.9,-0.6
Ray Beno,,,2014,Georgia Tech,OG,6.1,305,0,0,5.35,1.8,5,7.96,30,23.5,8.08,80.6,81.4,-0.7,-0.6
Brian Wozniak,,,2014,Wisconsin,TE,6.34,257,31.5,9.13,4.99,1.68,4.52,7.44,18,31,9.42,91.9,95.3,-0.8,-0.6
Terrence Miller,,,2014,Arizona,TE,6.29,233,33.25,10,4.72,1.66,4.63,7.24,17,30,9.17,90,95.3,-1,-0.6
Dennell Wesley,,,2014,Texas Tech,DT,6.08,321,0,0,5.29,1.87,4.97,8.17,25,26,8.08,87.1,79.9,-0.5,-0.6
Julian Horton,,,2014,Arkansas,WR,6.01,197,30.63,10,4.69,1.64,4.39,7.27,16,33.5,10.6,97.7,100.3,-0.8,-0.6
T.J. Lee,,,2014,Eastern Washington,CB,5.68,187,29.75,9.38,4.53,1.59,4.28,7.06,14,35,9.75,105.7,103.3,-0.3,-0.6
Mustafa Johnson,,,2014,Florida Atlantic,OC,6.06,291,32,9.88,5.27,1.81,5.03,8.04,12,26,8.08,69.1,75.3,-1.3,-0.6
Fred Lee,,,2014,Buffalo,WR,6.08,201,0,0,4.71,1.58,4.16,7.12,10,30.5,10.1,95,100.2,-1.1,-0.6
Ryan Smith,,,2014,North Dakota State,WR,5.57,176,0,0,4.49,1.62,4.12,6.88,12,34,9.5,106.5,100.2,-0.1,-0.6
John Oyloe,,,2014,Mary,DE,6.34,258,0,0,4.88,1.69,4.7,7.19,17,35.5,9.25,96.9,99.8,-0.8,-0.6
Dylan Bostick,,,2014,Jacksonville,OG,6.28,272,0,0,5.02,1.79,4.78,7.96,29,27,8.33,90.4,81.2,0.1,-0.6
Jibrille Fewell,,,2014,Liberty,DT,6,298,32.13,9.13,5.04,1.75,5.05,7.37,23,27,8,89,86.8,-0.6,-0.6
Mana Rosa,,,2014,Oregon State,DT,6.17,286,0,0,5.11,1.75,4.82,7.47,16,28.5,8.5,81.9,86.8,-1,-0.6
Devin Wallace,,,2014,Virginia Union,CB,5.86,205,29.38,9,4.52,1.55,4.39,7.16,19,32.5,9.67,107.4,103.2,-0.1,-0.6
Jordan Cotton,,,2014,Iowa,WR,6,201,0,0,4.49,1.59,4.43,6.84,16,31.5,9.8,101.1,100.1,-0.6,-0.6
Arryn Chenault,,,2014,Cincinnati,DS,5.98,213,32.63,9.13,4.68,1.65,4.31,6.97,14,32,10,100.1,102.2,-0.9,-0.6
Brandon McCray,,,2014,Louisiana Lafayette,DT,6.35,317,0,0,5.4,1.87,4.6,8.52,21,29,8.75,88.7,86.7,-0.6,-0.6
Jaylen Watkins,,,2014,Florida,CB,5.96,194,30.63,9.63,4.41,1.5,4.5,7.13,22,31.5,9.83,105.6,103.1,-0.3,-0.6
Keenan Graham,,,2014,UCLA,OB,6.1,242,32.38,9.5,4.74,1.63,4.45,7.37,16,29,9.42,95.6,99.6,-0.9,-0.6
Andrew Belizaire,,,2014,Rhode Island,OT,6.25,293,0,0,5.18,1.81,4.89,8.18,20,28,8.25,83.6,82.1,-0.4,-0.6
Andrew Wilson,,,2014,Missouri,IB,6.21,239,31,8.75,4.74,1.69,4.59,7.48,22,33.5,9.58,102.8,100.7,-0.6,-0.6
Steffon Martin,,,2014,Arizona State,OB,6.08,237,0,0,4.7,1.68,4.69,7.53,23,33.5,9.75,101.9,101.5,-0.5,-0.6
Wade Keliikipi,,,2014,Oregon,DT,6.17,303,32.63,9.5,5.38,1.84,4.74,7.17,30,28,8.33,89.4,86.6,-0.6,-0.6
Blake Sailors,,,2014,Georgia,CB,5.86,186,0,0,4.47,1.57,4.11,7.5,14,34.5,9.5,113,103,0.3,-0.6
Louis Nix III,83,HOU,2014,Notre Dame,DT,6.19,331,33,9.88,5.38,1.87,4.94,8.01,24,25.5,8.08,84.6,79.6,-0.8,-0.6
Fred Gaines,,,2014,East Central,DS,5.86,204,0,0,4.71,1.63,4.34,7.12,21,33,10.08,104.7,102,-0.5,-0.6
Allen Muse,,,2014,Arkansas State,WR,6.34,186,0,0,4.76,1.59,4.64,7.3,16,40.5,10.8,92.5,99.9,-1.3,-0.6
Parris Lee,,,2014,Georgia State,RB,5.63,183,0,0,4.6,1.59,4.46,7.01,17,34.5,10,97.6,103.8,-1.1,-0.6
DeRon Furr,,,2014,Fort Valley State,OB,6.2,232,33.75,9.38,4.7,1.6,4.62,7.29,18,32.5,9.5,96,101.3,-0.9,-0.6
Markeith Russell,,,2014,Florida International,OB,5.96,212,0,0,4.82,1.68,4.52,7.42,16,34,10.17,91.7,101.3,-1.2,-0.6
Noel Grigsby,,,2014,San Jose State,WR,5.79,185,30.63,9.88,4.69,1.65,4.34,7,13,37.5,10.1,99.6,99.8,-0.7,-0.6
Chief Kekuewa,,,2014,Bowling Green,OC,6.14,314,30.63,8.75,5.38,1.92,4.77,8.34,29,28.5,7.67,91.8,74.8,0.3,-0.6
Romelle Jones,,,2014,South Alabama,DT,6.3,306,0,0,5.31,1.88,4.87,8.08,15,28,9.42,78.2,86.4,-1.3,-0.6
Zian Jones,,,2014,Syracuse,DT,6.3,306,0,0,5.31,1.88,4.87,8.08,15,28,9.42,78.2,86.4,-1.3,-0.6
Cory Freeman,,,2014,Liberty,DE,6.28,279,0,0,4.9,1.76,4.8,7.97,24,30.5,9.25,101,99.2,-0.5,-0.7
Al Louis-Jean,,,2016,Boston College,CB,6.11,187,32.75,0,4.52,1.59,4.41,7.03,8,32.5,10.42,90.8,102.8,-1.5,-0.7
DeHendret Collins,,,2014,Ole Miss,CB,5.79,181,0,0,4.5,1.58,4.22,6.81,13,33,9.67,103.2,102.8,-0.5,-0.7
Quindell Dean,,,2014,Slippery Rock,IB,5.92,235,30.13,9.25,4.74,1.72,4.31,7.19,17,34,8.92,109,100.4,-0.1,-0.7
Antonio Foster,,,2014,Memphis,OG,6.21,319,0,0,5.48,1.84,4.95,8.03,25,25,8,78.2,80.7,-0.9,-0.7
Cameron Fleming,,,2015,Stanford,OT,6.39,323,34,9.88,5.28,1.85,5,8.24,26,25.5,8.08,87.5,81.7,-0.1,-0.7
Nevin Lawson,,,2014,Utah State,CB,5.79,190,31.5,9,4.48,1.63,4.4,7.12,16,34.5,10,104.9,102.7,-0.3,-0.7
William Wright,,,2014,West Georgia,OG,6.14,319,33.25,10.38,5.65,1.92,4.9,8.21,20,28,8.67,72.6,80.6,-1.3,-0.7
Gary Bush,,,2014,Pudue,WR,5.97,179,0,0,4.57,1.6,4.21,6.83,15,35.5,9.4,106.7,99.6,-0.1,-0.7
Xavier Maxwell,,,2014,Houston,WR,6.02,179,31,8.75,4.59,1.64,4.18,6.93,3,35,10,92.8,99.6,-1.2,-0.7
Adam Dempsey,,,2014,Cincinnati,DE,6.19,283,0,0,5.21,1.78,4.32,7.32,24,28.5,8.92,99.7,99,-0.6,-0.7
David Edgerson,,,2014,Portland State,DS,5.72,198,0,0,4.6,1.59,4.35,7.17,22,34,9.67,109.9,101.6,-0.1,-0.7
Nicholas Cox,,,2014,Maine,DS,5.94,193,0,0,4.66,1.63,4.39,7.08,17,32.5,10.42,97.3,101.6,-1.1,-0.7
Dennis Carter,,,2014,Minnesota State,WR,5.76,172,0,0,4.72,1.6,4.13,6.67,13,35.5,9.8,99.8,99.5,-0.7,-0.7
J.R. Collins,,,2014,Virginia Tech,OB,6.19,237,32.25,9.75,4.8,1.69,4.4,7.13,20,26,9.75,92.9,98.8,-1,-0.7
Jacques Washington,,,2014,Iowa State,DS,6,207,0,0,4.61,1.62,4.19,7.09,12,31.5,9.67,103,101.5,-0.7,-0.7
Melvin Booker,,,2014,Becker,DS,5.86,204,0,0,4.62,1.62,4.5,7.13,19,35,10,103,101.5,-0.7,-0.7
Steve Hull,,,2014,Illinois,WR,6.08,198,0,0,4.56,1.6,4.6,7.12,11,36.5,10.2,93.7,99.4,-1.2,-0.7
Paul Swan,,,2014,Bowling Green,OB,6.01,230,0,0,4.95,1.69,4.21,7.12,28,32,9.17,110.6,100.7,0,-0.7
Tavon Rooks,,,2014,Kansas State,OG,6.37,299,0,0,5.2,1.88,4.9,7.77,21,25.5,8.92,81.2,80.3,-0.6,-0.7
Xavier Grimble,,,2015,USC,TE,6.35,257,33.63,10.25,4.9,1.7,4.79,7.41,16,30.5,9.42,86.3,94,-1.2,-0.7
DeMario Bennett,,,2014,Coastal Carolina,WR,6.1,181,0,0,4.48,1.59,4.52,6.93,7,35,10.3,89.2,99.3,-1.5,-0.7
Ja-Mes Logan,,,2014,Ole Miss,WR,6.13,192,32.25,8.75,4.69,1.67,4,6.76,14,32,9.6,105.8,99.3,-0.2,-0.7
Terrell Grant,,,2014,Ole Miss,WR,6.17,208,0,0,4.63,1.66,4.35,7.03,11,35,9.8,101.1,99.3,-0.6,-0.7
Todd Washington,,,2014,SE Louisiana,CB,5.95,196,31.13,8.75,4.59,1.62,4.39,7.25,13,35.5,10.08,101.1,102.3,-0.6,-0.7
Daytawion Lowe,,,2014,Oklahoma State,DS,5.95,195,30.75,9.13,4.45,1.58,4.52,7.62,10,37.5,10,100.5,101.2,-0.8,-0.7
Anthony Grady,,,2014,Missouri State,DE,6.5,271,0,0,5.07,1.73,4.53,6.98,15,31.5,8.75,89,98.4,-1.3,-0.7
Ken Bishop,,,2014,Northern Illinois,DT,6.02,306,33.75,9.13,5.21,1.8,4.82,8.02,31,27.5,8.17,95.7,85.7,-0.2,-0.7
Garrett Davis,,,2014,Fairmont State,OB,6.13,235,0,0,4.89,1.71,4.34,7.02,21,30.5,9.5,99.9,100.4,-0.7,-0.7
