Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Jamie Meder,,,2014,Ashland,DT,6.18,293,33.38,9.63,5.2,1.89,4.43,7.47,33,30,8.42,109.6,94.4,0.7,-0.1
Brennan Clay,,,2014,Oklahoma,RB,5.88,202,29.38,8.88,4.64,1.66,4.21,7.06,21,35.5,9.92,116.1,112.2,0.2,-0.1
Sam Ojuri,,,2014,North Dakota State,RB,6.04,208,0,0,4.52,1.65,4.4,7.3,14,38.5,9.92,111.8,112.2,-0.1,-0.1
Jeremy McKnight,,,2014,Florida Atlantic,DS,5.68,196,29.38,9.25,4.55,1.58,4.18,7.1,17,37,9.67,117.3,109.9,0.4,-0.1
Brett Van Sloten,,,2014,Iowa,OT,6.43,301,0,0,5.23,1.8,4.78,7.59,22,26.5,8.67,84.5,90,-0.3,-0.1
Tim Willman,,,2014,Connecticut,DE,6.25,266,31.88,9.25,4.98,1.69,4.35,7.2,26,30.5,9.08,109.3,109.3,0,-0.1
Jarrod Darden,,,2014,Wyoming,WR,6.35,209,0,0,4.68,1.65,4.14,7.14,13,29.5,10.8,100,107,-0.7,-0.1
Walter Powell,,,2014,Murray State,WR,5.95,189,31.63,9.5,4.44,1.56,4.23,6.7,10,32,10,102,107,-0.5,-0.1
Telvin Smith,,,2014,Florida State,OB,6.25,218,32.5,10.25,4.52,1.57,4.57,7.04,16,31.5,9.92,98.1,110.5,-0.8,-0.1
Dartwan Bush,,,2014,Texas Tech,DE,6.05,258,0,0,4.84,1.7,4.37,7.34,20,34,9.5,111.7,109.2,0.1,-0.1
Devon Kennard,,,2014,USC,OB,6.25,249,33.88,9.38,4.7,1.64,4.32,7.25,23,30,9.42,112.8,109.2,0.2,-0.1
Blake Poole,,,2014,Auburn,DS,5.85,183,0,0,4.4,1.6,4.35,7.19,20,38,10,117.8,109.8,0.5,-0.1
Paul Carrezola,,,2014,Rutgers,HB,6.13,244,31.5,8.88,4.84,1.62,4.47,7.31,20,31.5,9.67,99.4,101.1,-0.6,-0.1
Evan Gill,,,2014,Manitoba (CA),DE,6.21,292,32.88,9.75,5.1,1.74,4.72,7.57,29,29.5,8.5,98.6,94.2,0,-0.1
George Rainey,,,2014,Northern Illinois,OB,6.13,226,0,0,4.66,1.65,4.39,7.32,6,32,10.25,92.2,110.4,-1.2,-0.1
Nat Berhe,,,2014,San Diego State,DS,5.86,193,30.63,8.5,4.55,1.56,4.22,7.08,17,35.5,9.92,112.7,109.7,0.1,-0.1
Tyrone Cornelius,,,2014,Miami (FL),OB,6.1,220,0,0,4.74,1.63,4.33,6.97,23,32.5,9.67,108.9,110.3,-0.1,-0.1
Brandon Dixon,,,2014,NW Missouri State,CB,5.96,203,32.5,9,4.41,1.56,4.27,7.55,17,34,10,115.9,109.5,0.6,-0.1
Carrington Byndom,,,2014,Texas,CB,5.94,177,29.5,8.75,4.35,1.5,4.3,7.16,13,36,9.92,109.2,109.5,0,-0.1
Kacy Rodgers,,,2014,Miami (FL),DS,6.11,213,31.88,9.63,4.5,1.54,4.4,7.08,26,32,9.92,116,109.6,0.3,-0.1
Jake Olson,,,2014,Central Michigan,OT,6.62,301,33.75,9.25,5.29,1.84,4.92,7.84,25,29,8.92,87.8,89.7,-0.1,-0.1
Jerry Harris,,,2014,Central Michigan,WR,6.07,193,0,8.25,4.66,1.63,4.35,6.81,11,36,10.6,98.1,106.8,-0.8,-0.1
Ego Ferguson,51,CHI,2015,LSU,DT,6.24,315,32.25,10.75,5.1,1.72,5.03,7.99,24,29.5,8.25,96.8,94,-0.1,-0.1
Pat Eger,,,2014,West Virginia,OC,6.45,296,32.25,8.88,5.32,1.84,4.63,7.46,17,26,8.42,77,82.9,-0.8,-0.1
David Gilbert,,,2014,Miami (FL),DE,6.29,258,34.38,8.75,4.9,1.69,4.44,7.44,28,31.5,9.92,110.2,108.8,0,-0.1
Devin Smith,,,2014,Purdue,OG,6.42,333,33.33,10.33,5.47,1.87,4.95,7.98,20,25,9,77.2,88.3,-1,-0.1
Craig Sanders,,,2014,Auburn,OB,6.29,248,31.75,8.75,4.76,1.65,4.41,7.08,24,30.5,9.58,108.5,108.7,-0.1,-0.1
Carlos Gray,,,2016,North Carolina State,DT,6.19,313,0,0,5.2,1.75,4.95,8,21,27.5,9.17,87.4,93.8,-0.7,-0.1
Frank Balmaceda,,,2014,Duquesne,OC,6.05,303,0,0,5.29,1.81,4.84,7.91,29,25.5,8,86.6,82.7,-0.1,-0.1
Arius Wright,,,2014,Western Kentucky,CB,5.79,191,0,0,4.6,1.57,4.22,6.74,22,33,10,111.6,109.2,0.2,-0.1
Najja Johnson,,,2014,Buffalo,CB,5.86,189,31.5,9.75,4.4,1.51,4.37,7.22,11,30.5,10.67,96.9,109.2,-1,-0.1
Andrew Guillot,,,2014,Louisiana Tech,WR,5.73,182,0,0,4.52,1.58,4.27,7.05,14,36,10.2,106.7,106.5,-0.1,-0.1
Zach Gehring,,,2014,Eastern Washington,TE,6.2,240,0,0,4.81,1.72,4.34,7.41,14,35.5,9.58,105.2,103,0,-0.1
Kevin Norwood,,,2014,Alabama,WR,6.17,198,32.13,10,4.48,1.6,4.32,6.68,8,33,10.1,98.8,106.4,-0.8,-0.1
Austin Scheufele,,,2014,Harvard,OG,6.37,302,0,0,5.35,1.81,4.72,7.68,30,26.5,8.33,88,88,-0.1,-0.1
Alex Bazzie,,,2014,Marshall,OB,6.12,244,33.13,9.75,4.87,1.62,4.48,7.29,19,35,9.83,102.5,109.7,-0.5,-0.1
Zach Martin,16,DAL,2014,Notre Dame,OT,6.35,308,32.88,9.5,5.22,1.89,4.59,7.65,29,28,8.83,99.5,89.2,0.7,-0.1
Taylor Hart,,,2014,Oregon,DE,6.51,284,32.75,10.13,4.85,1.64,4.6,7.44,23,30,8.75,106.8,108.3,-0.2,-0.1
Jordan Anderson,,,2014,Virginia State,RB,5.81,215,0,0,4.65,1.63,4.29,6.9,18,37,9.42,114.9,111.3,0.1,-0.1
Tyler Sizemore,,,2014,North Alabama,OC,6.03,283,0,0,5.09,1.85,4.83,8.04,29,29.5,8.5,95.1,82.4,0.5,-0.1
