"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle"
"228",2006,"Parys","Haralson","DE",253,4.8,24,32,4.28
"229",2006,"Jason","Hatcher","DE",284,4.82,28,35.5,4.5
"230",2006,"A.J.","Hawk","OLB",248,4.59,24,40,3.96
"231",2006,"Clint","Ingram","OLB",244,4.65,22,41,4.11
"232",2006,"Julian","Jenkins","DE",277,5.03,25,34.5,4.24
"233",2006,"William","Kershaw","OLB",240,4.63,21,37,4.2
"234",2006,"Mathias","Kiwanuka","DE",266,4.7,17,32,4.15
"235",2006,"Mike","Kudla","DE",265,4.72,45,37,4.45
"236",2006,"Ryan","LaCasse","DE",257,4.62,34,34,4.34
"237",2006,"Manny","Lawson","OLB",241,4.43,23,39.5,4.21
"238",2006,"Stanley","McClover","DE",262,4.7,19,39,4.52
"239",2006,"Jeremy","Mincey","DE",259,4.76,27,33.5,4.25
"242",2006,"Rob","Ninkovich","DE",260,4.91,23,34.5,4.18
"244",2006,"Darryl","Tapp","DE",252,4.83,27,33,4.48
"245",2006,"Mario","Williams","DE",295,4.7,35,40.5,4.37
"246",2006,"Kamerion","Wimbley","DE",248,4.61,24,38.5,4.48
"247",2006,"James","Wyche","DE",262,4.63,33,33,4.51
"248",2005,"Adrian","Awasom","DE",279,4.93,23,32.5,4.4
"249",2005,"Darryl","Blackstock","OLB",247,4.7,25,39,4.32
"250",2005,"Vincent","Burns","DE",267,4.84,25,35,4.41
"251",2005,"Chauncey","Davis","DE",273,4.8,22,37,4.44
"253",2005,"Adell","Duckett","DE",270,4.93,14,34.5,4.35
"256",2005,"Simon","Fraser","DE",288,5,23,28,4.43
"257",2005,"Andre","Frazier","DE",234,4.66,19,38,4.12
"258",2005,"Jovan","Haye","DE",284,4.74,33,34,4.38
"261",2005,"Tyler","King","DE",271,4.87,20,36,4.35
"262",2005,"Khari","Long","DE",257,4.74,27,38.5,4.09
"263",2005,"David","McMillan","DE",262,4.58,16,34,4.08
"265",2005,"Mike","Montgomery","DE",276,5.05,19,34.5,4.33
"266",2005,"Eric","Moore","DE",262,4.84,22,29.5,4.57
"267",2005,"David","Pollack","DE",265,4.75,25,37,3.94
"268",2005,"Jonathan","Pollard","OLB",247,4.68,21,35,4.08
"269",2005,"Brady","Poppinga","DE",259,4.59,26,35.5,4.39
"271",2005,"Matt","Roth","DE",278,4.81,26,32,4.36
"273",2005,"Bill","Swancutt","DE",270,5,23,34,4.24
"274",2005,"Benard","Thomas","DE",269,4.9,27,30,4.34
