"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle","sparq","draft","games","tfls","sacks","production_ratio"
"88",2008,"Cliff","Avril","OLB",253,4.51,27,32.5,4.51,122.77,"3",27,30,12.5,1.57
"89",2008,"Calais","Campbell","DE",290,5.04,16,29.5,4.69,91.04,"2",25,33,17,2
"90",2008,"Joe","Clermond","DE",249,5.15,20,25.5,4.73,73.23,"8",24,29.5,16,1.9
"91",2008,"Shawn","Crable","OLB",245,4.61,29,28,4.55,110.13,"3",26,40.5,13.5,2.08
"92",2008,"Curtis","Gatewood","OLB",248,4.72,22,28.5,4.22,110.99,"8",24,15,10.5,1.06
"93",2008,"Jeremy","Geathers","DE",256,4.96,29,28,4.49,101.34,"8",23,16,11,1.17
"94",2008,"Vernon","Gholston","DE",266,4.65,37,35.5,4.4,138.07,"1",26,30.5,22.5,2.04
"95",2008,"Quentin","Groves","OLB",259,4.53,30,29.5,4.42,124,"2",24,19,12.5,1.31
"96",2008,"Gary","Guyton","OLB",245,4.47,15,36.5,4.42,120.5,"8",27,21.5,6,1.02
"97",2008,"Erin","Henderson","OLB",244,4.73,23,31,4.5,106.04,"8",25,17.5,2,0.78
"98",2008,"Mike","Humpal","OLB",244,4.82,20,31,4.25,107.53,"6",24,10.5,1,0.48
"99",2008,"Bryan","Kehl","OLB",242,4.67,26,34,4.23,123.99,"4",26,19.5,6.5,1
"100",2008,"Chase","Ortiz","DE",249,4.9,24,29.5,4.23,107.68,"8",26,27.5,11.5,1.5
"101",2008,"Dorian","Smith","DE",264,5.06,24,27.5,4.73,87.11,"8",23,21.5,14.5,1.57
"102",2007,"CJ","Ah","DE",274,4.7,26,36.5,4.4,129.38,"7",26,18.5,10.5,1.12
"103",2007,"Antwan","Barnes","OLB",240,4.43,31,35,4.32,136.56,"4",23,38,15.5,2.33
"104",2007,"Dan","Bazuin","DE",266,4.77,25,30,4.75,102.77,"8",24,41.5,26.5,2.83
"105",2007,"Larry","Birdine","DE",261,5.02,21,32,4.76,91.58,"8",27,22.5,13.5,1.33
"106",2007,"Quincy","Black","OLB",240,4.42,24,41.5,4.34,140.5,"3",24,4.5,1.5,0.25
"107",2007,"Stewart","Bradley","OLB",254,4.72,28,35.5,4.17,131.25,"3",20,9,4,0.65
"108",2007,"Adam","Carriker","DE",296,4.9,33,33.5,4.18,135.7,"1",26,28.5,16.5,1.73
"109",2007,"Jay","Moore","DE",274,4.92,26,34,4.35,118.52,"8",26,26,9,1.35
"110",2007,"Quentin","Moses","DE",261,4.82,17,32,4.53,101.86,"3",26,32.5,16,1.87
"111",2007,"Anthony","Spencer","DE",261,4.7,30,32.5,4.43,122.47,"1",25,32,12.5,1.78
"112",2007,"Abraham","Wright","DE",242,4.9,24,31,4.46,101.32,"8",25,21,17,1.52
"113",2006,"Jason","Hatcher","DE",284,4.82,28,35.5,4.5,124.43,"8",18,11,3.5,0.81
"114",2006,"Clint","Ingram","OLB",244,4.65,22,41,4.11,136.94,"3",26,16,7,0.88
"115",2006,"Stanley","McClover","DE",262,4.7,19,39,4.52,120.4,"7",24,24,13,1.54
"116",2006,"Mario","Williams","DE",295,4.7,35,40.5,4.37,150.44,"1",24,39.5,25.5,2.71
"117",2006,"James","Wyche","DE",262,4.63,33,33,4.51,126.66,"7",23,30.5,19,2.15
"118",2002,"Carlos","Hall","DE",259,4.67,20,40,4.19,133.65,"7",22,0,0,0
"119",2002,"John","Stamper","DE",265,4.98,24,36.5,4.22,120.49,"8",24,1,0,0.04
"120",2001,"Ross","Kolodziej","DE",290,4.87,25,34.5,4.36,123.81,"7",23,0,0,0
"121",2001,"Dwayne","Missouri","DE",258,5.03,21,38,4.4,111.02,"8",23,0,0,0
"122",1999,"Robert","Daniel","DE",281,5.04,24,28.5,4.86,89.92,"8",24,1,1,0.08
"123",1999,"Derrick","Ham","DE",257,4.91,24,28.5,4.54,98.04,"3",26,12,38,1.92
"124",1999,"Arnold","Miller","DE",240,4.77,12,33.5,4.12,109.25,"8",21,10,24,1.62
